id,name,supertype,subtypes,level,hp,types,evolvesFrom,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,flavorText,nationalPokedexNumbers,legalities,images,tcgplayer,cardmarket,evolvesTo,resistances,rules
base1-1,Alakazam,Pokémon,['Stage 2'],42,80,['Psychic'],Kadabra,"[{'name': 'Damage Swap', 'text': ""As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]","[{'name': 'Confuse Ray', 'cost': ['Psychic', 'Psychic', 'Psychic'], 'convertedEnergyCost': 3, 'damage': '30', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Confused.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",1,Ken Sugimori,Rare Holo,Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.,[65],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/1.png', 'large': 'https://images.pokemontcg.io/base1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-1', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 44.5, 'mid': 65.91, 'high': 9999.0, 'market': 61.24, 'directLow': 54.03}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-1', 'updatedAt': '2026/03/26', 'prices': {'averageSellPrice': 139.99, 'lowPrice': 39.95, 'trendPrice': 197.0, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 205.0, 'avg1': 450.0, 'avg7': 221.42, 'avg30': 145.33, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,
base1-2,Blastoise,Pokémon,['Stage 2'],52,100,['Water'],Wartortle,"[{'name': 'Rain Dance', 'text': ""As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]","[{'name': 'Hydro Pump', 'cost': ['Water', 'Water', 'Water'], 'convertedEnergyCost': 3, 'damage': '40+', 'text': ""Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.""}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",2,Ken Sugimori,Rare Holo,A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/2.png', 'large': 'https://images.pokemontcg.io/base1/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-2', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 182.42, 'mid': 293.34, 'high': 749.99, 'market': 183.48, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-2', 'updatedAt': '2026/03/26', 'prices': {'averageSellPrice': 99.99, 'lowPrice': 25.0, 'trendPrice': 125.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 73.51, 'lowPriceExPlus': 65.0, 'avg1': 47.5, 'avg7': 159.93, 'avg30': 102.4, 'reverseHoloAvg1': 100.0, 'reverseHoloAvg7': 50.43, 'reverseHoloAvg30': 64.46}}",,,
base1-3,Chansey,Pokémon,['Basic'],55,120,['Colorless'],,,"[{'name': 'Scrunch', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': ""Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)""}, {'name': 'Double-edge', 'cost': ['Colorless', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '80', 'text': 'Chansey does 80 damage to itself.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",3,Ken Sugimori,Rare Holo,A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.,[113],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/3.png', 'large': 'https://images.pokemontcg.io/base1/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-3', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 20.99, 'mid': 36.5, 'high': 73.99, 'market': 49.17, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-3', 'updatedAt': '2026/03/26', 'prices': {'averageSellPrice': 21.63, 'lowPrice': 3.5, 'trendPrice': 78.98, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 21.43, 'lowPriceExPlus': 21.0, 'avg1': 110.2, 'avg7': 80.01, 'avg30': 32.7, 'reverseHoloAvg1': 17.45, 'reverseHoloAvg7': 21.22, 'reverseHoloAvg30': 19.23}}",['Blissey'],"[{'type': 'Psychic', 'value': '-30'}]",
base1-4,Charizard,Pokémon,['Stage 2'],76,120,['Fire'],Charmeleon,"[{'name': 'Energy Burn', 'text': ""As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]","[{'name': 'Fire Spin', 'cost': ['Fire', 'Fire', 'Fire', 'Fire'], 'convertedEnergyCost': 4, 'damage': '100', 'text': 'Discard 2 Energy cards attached to Charizard in order to use this attack.'}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",4,Mitsuhiro Arita,Rare Holo,Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.,[6],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/4.png', 'large': 'https://images.pokemontcg.io/base1/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-4', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 630.0, 'mid': 719.99, 'high': 2000.0, 'market': 494.23, 'directLow': 1499.99}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-4', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 1496.67, 'lowPrice': 900.0, 'trendPrice': 1468.78, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1200.0, 'avg1': 3328.0, 'avg7': 1834.75, 'avg30': 2155.03, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'type': 'Fighting', 'value': '-30'}]",
base1-5,Clefairy,Pokémon,['Basic'],14,40,['Colorless'],,,"[{'name': 'Sing', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Asleep.'}, {'name': 'Metronome', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': ""Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)""}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",5,Ken Sugimori,Rare Holo,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,[35],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/5.png', 'large': 'https://images.pokemontcg.io/base1/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-5', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 16.32, 'mid': 26.9, 'high': 95.98, 'market': 28.43, 'directLow': 14.67}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-5', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 29.16, 'lowPrice': 5.0, 'trendPrice': 30.63, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 14.0, 'lowPriceExPlus': 15.95, 'avg1': 124.98, 'avg7': 32.34, 'avg30': 29.97, 'reverseHoloAvg1': 16.81, 'reverseHoloAvg7': 11.97, 'reverseHoloAvg30': 19.63}}",['Clefable'],"[{'type': 'Psychic', 'value': '-30'}]",
base1-6,Gyarados,Pokémon,['Stage 1'],41,100,['Water'],Magikarp,,"[{'name': 'Dragon Rage', 'cost': ['Water', 'Water', 'Water'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}, {'name': 'Bubblebeam', 'cost': ['Water', 'Water', 'Water', 'Water'], 'convertedEnergyCost': 4, 'damage': '40', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Grass', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",6,Mitsuhiro Arita,Rare Holo,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",[130],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/6.png', 'large': 'https://images.pokemontcg.io/base1/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-6', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 19.99, 'mid': 37.75, 'high': 69.78, 'market': 42.71, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-6', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 24.02, 'lowPrice': 1.55, 'trendPrice': 24.3, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 14.3, 'lowPriceExPlus': 10.0, 'avg1': 27.98, 'avg7': 20.43, 'avg30': 24.09, 'reverseHoloAvg1': 12.94, 'reverseHoloAvg7': 13.88, 'reverseHoloAvg30': 12.87}}",,"[{'type': 'Fighting', 'value': '-30'}]",
base1-7,Hitmonchan,Pokémon,['Basic'],33,70,['Fighting'],,,"[{'name': 'Jab', 'cost': ['Fighting'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}, {'name': 'Special Punch', 'cost': ['Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ''}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",7,Ken Sugimori,Rare Holo,"While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see.",[107],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/7.png', 'large': 'https://images.pokemontcg.io/base1/7_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-7', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 10.0, 'mid': 14.99, 'high': 9999.0, 'market': 18.53, 'directLow': 13.54}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-7', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 67.97, 'lowPrice': 19.99, 'trendPrice': 60.39, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 40.0, 'avg1': 19.99, 'avg7': 41.98, 'avg30': 55.27, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,
base1-8,Machamp,Pokémon,['Stage 2'],67,100,['Fighting'],Machoke,"[{'name': 'Strikes Back', 'text': ""Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks."", 'type': 'Pokémon Power'}]","[{'name': 'Seismic Toss', 'cost': ['Fighting', 'Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '60', 'text': ''}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",8,Ken Sugimori,Rare Holo,"Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.",[68],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/8.png', 'large': 'https://images.pokemontcg.io/base1/8_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-8', 'updatedAt': '2023/03/27'}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-8', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 103.72, 'lowPrice': 26.5, 'trendPrice': 85.27, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 44.0, 'avg1': 19.99, 'avg7': 89.97, 'avg30': 73.84, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,
base1-9,Magneton,Pokémon,['Stage 1'],28,60,['Lightning'],Magnemite,,"[{'name': 'Thunder Wave', 'cost': ['Lightning', 'Lightning', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Selfdestruct', 'cost': ['Lightning', 'Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '80', 'text': ""Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.""}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",9,Keiji Kinebuchi,Rare Holo,Formed by several Magnemites linked together. It frequently appears when sunspots flare up.,[82],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/9.png', 'large': 'https://images.pokemontcg.io/base1/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-9', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 11.95, 'mid': 22.95, 'high': 649.99, 'market': 34.08, 'directLow': 18.63}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-9', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 24.9, 'lowPrice': 4.0, 'trendPrice': 22.01, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 12.94, 'lowPriceExPlus': 11.0, 'avg1': 15.0, 'avg7': 22.17, 'avg30': 25.66, 'reverseHoloAvg1': 8.8, 'reverseHoloAvg7': 13.69, 'reverseHoloAvg30': 12.92}}",['Magnezone'],,
base1-10,Mewtwo,Pokémon,['Basic'],53,60,['Psychic'],,,"[{'name': 'Psychic', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10+', 'text': 'Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.'}, {'name': 'Barrier', 'cost': ['Psychic', 'Psychic'], 'convertedEnergyCost': 2, 'damage': '', 'text': ""Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.""}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base1', 'name': 'Base', 'series': 'Base', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'BS', 'releaseDate': '1999/01/09', 'updatedAt': '2022/10/10 15:12:00', 'images': {'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}}",10,Ken Sugimori,Rare Holo,A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.,[150],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base1/10.png', 'large': 'https://images.pokemontcg.io/base1/10_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base1-10', 'updatedAt': '2026/03/26', 'prices': {'holofoil': {'low': 25.04, 'mid': 50.0, 'high': 179.99, 'market': 68.83, 'directLow': 25.04}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base1-10', 'updatedAt': '2026/03/25', 'prices': {'averageSellPrice': 181.65, 'lowPrice': 30.0, 'trendPrice': 103.18, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 93.0, 'avg1': 130.0, 'avg7': 145.61, 'avg30': 237.81, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,
